throughput,Caracal ES=100,throughput,Caracal ES=500,throughput,Caracal ES=1000,throughput,Caracal ES=5000,throughput,Caracal ES=10000,throughput,Caracal ES=20000
0.28,693400,0.69,266700,0.87,204100,1.11,384500,1.14,748100,1.14,1498000
0.27,683000,0.69,248200,0.87,185700,1.11,338800,1.14,657400,1.14,1311000
0.27,655000,0.69,207700,0.87,146700,1.11,241400,1.13,464300,1.14,926600
0.27,612200,0.69,169200,0.87,107600,1.1,147300,1.13,270300,1.13,542400
0.27,573100,0.69,129800,0.86,69300,1.1,51300,1.13,80300,1.13,158400
0.27,528400,0.69,88400,0.87,29500,0.99,6000,0.99,11600,0.99,23200
0.28,312700,0.5,1400,0.5,2400,0.5,11000,0.5,21700,0.5,43000
0.25,1300,0.25,2400,0.25,4500,0.25,21100,0.25,41600,0.25,82600
