throughput,Caracal ES=100,throughput,Caracal ES=500,throughput,Caracal ES=1000,throughput,Caracal ES=5000,throughput,Caracal ES=10000,throughput,Caracal ES=20000
0.29,664000,0.89,202300,1.2,143500,1.66,237300,1.65,484600,1.65,965600
0.29,632000,0.87,188300,1.31,111200,1.67,193800,1.66,391200,1.64,798900
0.3,586400,0.89,143600,1.31,71400,1.67,95600,1.64,201300,1.63,412100
0.3,544400,0.88,105200,1.3,33000,1.64,5900,1.62,17500,1.62,36200
0.3,500900,0.88,65800,1.24,1900,1.24,5100,1.24,10100,1.24,20300
0.3,463800,0.89,25400,0.99,1700,0.99,6100,0.99,12100,0.99,24300
0.3,259300,0.5,1400,0.5,2500,0.5,11200,0.5,22100,0.5,44000
0.25,1100,0.25,2400,0.25,4500,0.25,21200,0.25,41900,0.25,83600
